title,absract,date,link,database,Base Model,Interface Type,Workflow Composition,Architecture,Agentic Role - Retrieval,Agentic Role - Personalization,Agentic Role - Risk assessment,Agentic Role - Tool use,Agentic Role - Other,Modality,SoTD - Interactional / Conversational,SoTD - Generated / Synthetic,SoTD - Clinically Collected Data,SoTD - Elicited Evidence,Mental Health Focus,Age Group,Location,Sex,DT - Screening / Triage,DT - Clinical Decision Support,DT - Therapeutic Interventions,DT - Documentation Generation,DT - Ethical / Legal support,DT - Education & Simulation,DT - Evidence & Benchmarking,DT - Other,Automated Evaluation - Applicability,Automated Evaluation - Language,Human Evaluation - Expert,Human Evaluation - User,Unnamed: 35,Unnamed: 36,published
VCounselor: A Psychological Intervention Chat Agent Based on a Knowledge-Enhanced Large Language Model,"Conversational artificial intelligence can already independently engage in
brief conversations with clients with psychological problems and provide
evidence-based psychological interventions. The main objective of this study is
to improve the effectiveness and credibility of the large language model in
psychological intervention by creating a specialized agent, the VCounselor, to
address the limitations observed in popular large language models such as
ChatGPT in domain applications. We achieved this goal by proposing a new
affective interaction structure and knowledge-enhancement structure. In order
to evaluate VCounselor, this study compared the general large language model,
the fine-tuned large language model, and VCounselor's knowledge-enhanced large
language model. At the same time, the general large language model and the
fine-tuned large language model will also be provided with an avatar to compare
them as an agent with VCounselor. The comparison results indicated that the
affective interaction structure and knowledge-enhancement structure of
VCounselor significantly improved the effectiveness and credibility of the
psychological intervention, and VCounselor significantly provided positive
tendencies for clients' emotions. The conclusion of this study strongly
supports that VConselor has a significant advantage in providing psychological
support to clients by being able to analyze the patient's problems with
relative accuracy and provide professional-level advice that enhances support
for clients.",3/20/24,http://arxiv.org/abs/2403.13553v1,arxiv,Small pre-trained model,Non-Chat Agent,Non-Agent,Not Applicable,FALSE,TRUE,,,TRUE,"Text, Audio, Video",,,,Interview (Questionnaire),general_psychiatry,"adolescence, young_adulthood",China,Both,TRUE,,TRUE,FALSE,,,,,TRUE,TRUE,TRUE,TRUE,,,2024-03-20T12:46:02Z
MAGI: Multi-Agent Guided Interview for Psychiatric Assessment,"Automating structured clinical interviews could revolutionize mental
healthcare accessibility, yet existing large language models (LLMs) approaches
fail to align with psychiatric diagnostic protocols. We present MAGI, the first
framework that transforms the gold-standard Mini International Neuropsychiatric
Interview (MINI) into automatic computational workflows through coordinated
multi-agent collaboration. MAGI dynamically navigates clinical logic via four
specialized agents: 1) an interview tree guided navigation agent adhering to
the MINI's branching structure, 2) an adaptive question agent blending
diagnostic probing, explaining, and empathy, 3) a judgment agent validating
whether the response from participants meet the node, and 4) a diagnosis Agent
generating Psychometric Chain-of- Thought (PsyCoT) traces that explicitly map
symptoms to clinical criteria. Experimental results on 1,002 real-world
participants covering depression, generalized anxiety, social anxiety and
suicide shows that MAGI advances LLM- assisted mental health assessment by
combining clinical rigor, conversational adaptability, and explainable
reasoning.",2025-04-25T11:08:27Z,http://arxiv.org/abs/2504.18260v1,arxiv,Foundation model,Chatbot,Multi-Agent,Team Architecture,FALSE,TRUE,FALSE,,TRUE,Text,,,,Interview (Questionnaire),"6A7, 6B0, 6B4, 6A80","adolescence, young_adulthood",China,Unspecified,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,,,,2025-04-25T11:08:27Z
Artificial Humans,"This study investigates the development and assessment of an artificial human
designed as a conversational AI chatbot, focusing on its role as a clinical
psychologist. The project involved creating a specialized chatbot using the
Character.ai platform. The chatbot was designed to engage users in
psychological discussions, providing advice and support with a human-like
touch. The study involved participants (N=27) from diverse backgrounds,
including psychologists, AI researchers, and the general public, who interacted
with the chatbot and provided feedback on its human-likeness, empathy, and
engagement levels.
  Results indicate that while many users found the chatbot engaging and
somewhat human-like, limitations were noted in areas such as empathy and
nuanced understanding. The findings suggest that although conversational AI has
made strides, it remains far from achieving the true human-like interaction
necessary for Artificial General Intelligence (AGI). The study highlights the
challenges and potential of AI in human-computer interactions, suggesting
directions for future research and development to bridge the gap between
current capabilities and AGI.
  The project was completed in November of 2022 before the release of chatGPT.",2025-03-12T08:16:07Z,http://arxiv.org/abs/2503.16502v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,,TRUE,,,TRUE,Text,,FALSE,,,general_psychiatry,"adolescence, young_adulthood",unspecified,Both,FALSE,,TRUE,,,FALSE,,FALSE,,,,TRUE,,,2025-03-12T08:16:07Z
"Using Audio Data to Facilitate Depression Risk Assessment in
Primary Health Care","Telehealth is a valuable tool for primary health care (PHC), where depression
is a common condition. PHC is the first point of contact for most people with
depression, but about 25% of diagnoses made by PHC physicians are inaccurate.
Many other barriers also hinder depression detection and treatment in PHC.
Artificial intelligence (AI) may help reduce depression misdiagnosis in PHC and
improve overall diagnosis and treatment outcomes. Telehealth consultations
often have video issues, such as poor connectivity or dropped calls. Audio-only
telehealth is often more practical for lower-income patients who may lack
stable internet connections. Thus, our study focused on using audio data to
predict depression risk. The objectives were to: 1) Collect audio data from 24
people (12 with depression and 12 without mental health or major health
condition diagnoses); 2) Build a machine learning model to predict depression
risk. TPOT, an autoML tool, was used to select the best machine learning
algorithm, which was the K-nearest neighbors classifier. The selected model had
high performance in classifying depression risk (Precision: 0.98, Recall: 0.93,
F1-Score: 0.96). These findings may lead to a range of tools to help screen for
and treat depression. By developing tools to detect depression risk, patients
can be routed to AI-driven chatbots for initial screenings. Partnerships with a
range of stakeholders are crucial to implementing these solutions. Moreover,
ethical considerations, especially around data privacy and potential biases in
AI models, need to be at the forefront of any AI-driven intervention in mental
health care.",17-Oct-23,http://arxiv.org/abs/2310.10928v1,arxiv,Machine Learning Models,Non-Chat Agent,Non-Agent,Not Applicable,,,TRUE,,,Audio,,,,Interview (Questionnaire),6A7,"adolescence, young_adulthood",unspecified,Both,TRUE,,,,,,,,TRUE,,,,,,
"Building Trust in Mental Health Chatbots: Safety Metrics and LLM-Based Evaluation
Tools","Objective: This study aims to develop and validate an evaluation framework to
ensure the safety and reliability of mental health chatbots, which are
increasingly popular due to their accessibility, human-like interactions, and
context-aware support. Materials and Methods: We created an evaluation
framework with 100 benchmark questions and ideal responses, and five guideline
questions for chatbot responses. This framework, validated by mental health
experts, was tested on a GPT-3.5-turbo-based chatbot. Automated evaluation
methods explored included large language model (LLM)-based scoring, an agentic
approach using real-time data, and embedding models to compare chatbot
responses against ground truth standards. Results: The results highlight the
importance of guidelines and ground truth for improving LLM evaluation
accuracy. The agentic method, dynamically accessing reliable information,
demonstrated the best alignment with human assessments. Adherence to a
standardized, expert-validated framework significantly enhanced chatbot
response safety and reliability. Discussion: Our findings emphasize the need
for comprehensive, expert-tailored safety evaluation metrics for mental health
chatbots. While LLMs have significant potential, careful implementation is
necessary to mitigate risks. The superior performance of the agentic approach
underscores the importance of real-time data access in enhancing chatbot
reliability. Conclusion: The study validated an evaluation framework for mental
health chatbots, proving its effectiveness in improving safety and reliability.
Future work should extend evaluations to accuracy, bias, empathy, and privacy
to ensure holistic assessment and responsible integration into healthcare.
Standardized evaluations will build trust among users and professionals,
facilitating broader adoption and improved mental health support through
technology.",3-Aug-24,http://arxiv.org/abs/2408.04650v2,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,TRUE,,TRUE,TRUE,TRUE,Text,,TRUE,,,general_psychiatry,age_unspecified,unspecified,Unspecified,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,
CA+: Cognition Augmented Counselor Agent Framework for Long-term Dynamic Client Engagement,"Current AI counseling systems struggle with maintaining effective long-term
client engagement. Through formative research with counselors and a systematic
literature review, we identified five key design considerations for AI
counseling interactions. Based on these insights, we propose CA+, a Cognition
Augmented counselor framework enhancing contextual understanding through three
components:
  (1) Therapy Strategies Module: Implements hierarchical Goals-Session-Action
planning with bidirectional adaptation based on client feedback; (2)
Communication Form Module: Orchestrates parallel guidance and empathy pathways
for balanced therapeutic progress and emotional resonance; (3) Information
Management: Utilizes client profile and therapeutic knowledge databases for
dynamic, context-aware interventions.
  A three-day longitudinal study with 24 clients demonstrates CA+'s significant
improvements in client engagement, perceived empathy, and overall satisfaction
compared to a baseline system. Besides, two licensed counselors confirm its
high professionalism. Our research demonstrates the potential for enhancing LLM
engagement in psychological counseling dialogues through cognitive theory,
which may inspire further innovations in computational interaction in the
future.",2025-03-27T10:56:53Z,http://arxiv.org/abs/2503.21365v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,TRUE,TRUE,FALSE,TRUE,FALSE,Text,TRUE,FALSE,,Systematic reviews  / Meta analysis,general_psychiatry,"adolescence, young_adulthood",China,Both,TRUE,TRUE,TRUE,TRUE,,FALSE,,,TRUE,TRUE,TRUE,TRUE,,,2025-03-27T10:56:53Z
AutoCBT: An Autonomous Multi-agent Framework for Cognitive Behavioral Therapy in Psychological Counseling,"Traditional in-person psychological counseling remains primarily niche, often
chosen by individuals with psychological issues, while online automated
counseling offers a potential solution for those hesitant to seek help due to
feelings of shame. Cognitive Behavioral Therapy (CBT) is an essential and
widely used approach in psychological counseling. The advent of large language
models (LLMs) and agent technology enables automatic CBT diagnosis and
treatment. However, current LLM-based CBT systems use agents with a fixed
structure, limiting their self-optimization capabilities, or providing hollow,
unhelpful suggestions due to redundant response patterns. In this work, we
utilize Quora-like and YiXinLi single-round consultation models to build a
general agent framework that generates high-quality responses for single-turn
psychological consultation scenarios. We use a bilingual dataset to evaluate
the quality of single-response consultations generated by each framework. Then,
we incorporate dynamic routing and supervisory mechanisms inspired by real
psychological counseling to construct a CBT-oriented autonomous multi-agent
framework, demonstrating its general applicability. Experimental results
indicate that AutoCBT can provide higher-quality automated psychological
counseling services.",2025-01-16T09:57:12Z,http://arxiv.org/abs/2501.09426v1,arxiv,Foundation model,Chatbot,Multi-Agent,Hybrid Architecture,FALSE,FALSE,FALSE,FALSE,TRUE,Text,TRUE,FALSE,Not Applicable,Not Applicable,"6A7, 6B0, 6C4",Unspecified,Unspecified,Unspecified,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,2025-01-16T09:57:12Z
PsyDI: Towards a Personalized and Progressively In-depth Chatbot for Psychological Measurements,"In the field of psychology, traditional assessment methods, such as
standardized scales, are frequently critiqued for their static nature, lack of
personalization, and reduced participant engagement, while comprehensive
counseling evaluations are often inaccessible. The complexity of quantifying
psychological traits further limits these methods. Despite advances with large
language models (LLMs), many still depend on single-round Question-and-Answer
interactions. To bridge this gap, we introduce PsyDI, a personalized and
progressively in-depth chatbot designed for psychological measurements,
exemplified by its application in the Myers-Briggs Type Indicator (MBTI)
framework. PsyDI leverages user-related multi-modal information and engages in
customized, multi-turn interactions to provide personalized, easily accessible
measurements, while ensuring precise MBTI type determination. To address the
challenge of unquantifiable psychological traits, we introduce a novel training
paradigm that involves learning the ranking of proxy variables associated with
these traits, culminating in a robust score model for MBTI measurements. The
score model enables PsyDI to conduct comprehensive and precise measurements
through multi-turn interactions within a unified estimation context. Through
various experiments, we validate the efficacy of both the score model and the
PsyDI pipeline, demonstrating its potential to serve as a general framework for
psychological measurements. Furthermore, the online deployment of PsyDI has
garnered substantial user engagement, with over 3,000 visits, resulting in the
collection of numerous multi-turn dialogues annotated with MBTI types, which
facilitates further research. The source code for the training and web service
components is publicly available as a part of OpenDILab at:
https://github.com/opendilab/PsyDI",2024-07-22T07:19:12Z,http://arxiv.org/abs/2408.03337v4,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,FALSE,Text,FALSE,TRUE,Not Applicable,Interview (Questionnaire),general psychiatry,Unspecified,Unspecified,Unspecified,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,2024-07-22T07:19:12Z
ChatCounselor: A Large Language Models for Mental Health Support,"This paper presents ChatCounselor, a large language model (LLM) solution
designed to provide mental health support. Unlike generic chatbots,
ChatCounselor is distinguished by its foundation in real conversations between
consulting clients and professional psychologists, enabling it to possess
specialized knowledge and counseling skills in the field of psychology. The
training dataset, Psych8k, was constructed from 260 in-depth interviews, each
spanning an hour. To assess the quality of counseling responses, the counseling
Bench was devised. Leveraging GPT-4 and meticulously crafted prompts based on
seven metrics of psychological counseling assessment, the model underwent
evaluation using a set of real-world counseling questions. Impressively,
ChatCounselor surpasses existing open-source models in the counseling Bench and
approaches the performance level of ChatGPT, showcasing the remarkable
enhancement in model capability attained through high-quality domain-specific
data.",2023-09-27T07:57:21Z,http://arxiv.org/abs/2309.15461v1,arxiv,Foundation model,Chatbot,Single Agent,Not Applicable,FALSE,TRUE,FALSE,FALSE,FALSE,Text,TRUE,FALSE,Not Applicable,Not Applicable,general psychiatry,Unspecified,Unspecified,Unspecified,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,,,2023-09-27T07:57:21Z
Depression Diagnosis Dialogue Simulation: Self-improving Psychiatrist with Tertiary Memory,"Mental health issues, particularly depressive disorders, present significant
challenges in contemporary society, necessitating the development of effective
automated diagnostic methods. This paper introduces the Agent Mental Clinic
(AMC), a self-improving conversational agent system designed to enhance
depression diagnosis through simulated dialogues between patient and
psychiatrist agents. To enhance the dialogue quality and diagnosis accuracy, we
design a psychiatrist agent consisting of a tertiary memory structure, a
dialogue control and reflect plugin that acts as ``supervisor'' and a memory
sampling module, fully leveraging the skills reflected by the psychiatrist
agent, achieving great accuracy on depression risk and suicide risk diagnosis
via conversation. Experiment results on datasets collected in real-life
scenarios demonstrate that the system, simulating the procedure of training
psychiatrists, can be a promising optimization method for aligning LLMs with
real-life distribution in specific domains without modifying the weights of
LLMs, even when only a few representative labeled cases are available.",2024-09-20T14:25:08Z,http://arxiv.org/abs/2409.15084v2,arxiv,Foundation model,Chatbot,Multi-Agent,Hybrid Architecture,TRUE,TRUE,TRUE,FALSE,FALSE,Text,TRUE,TRUE,Not Applicable,Not Applicable,6A7,"Adolescence, Young adulthood, Middle adulthood, Old",China,Both,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,2024-09-20T14:25:08Z
